epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.9415,1.95455,1.90886,1.60905,0.0769,0.07256,0.02607,0.0089,3.0916,5.20395,2.9131,0.0700651,0.0033261,0.0033261
2,162.366,1.89979,1.77559,1.59514,0.32349,0.37085,0.28603,0.11815,2.03562,2.49044,1.76879,0.0399991,0.00659351,0.00659351
3,236.454,1.85705,1.63533,1.55157,0.43861,0.46985,0.41454,0.18495,1.90799,1.77662,1.65101,0.00986722,0.00979491,0.00979491
4,311.038,1.80226,1.53514,1.51521,0.48806,0.50553,0.46777,0.22115,1.84772,1.57685,1.57711,0.009703,0.009703,0.009703
5,385.057,1.7557,1.45466,1.48516,0.52735,0.49262,0.49785,0.23943,1.84684,1.5019,1.57867,0.009604,0.009604,0.009604
6,459.769,1.74003,1.41362,1.46603,0.57623,0.52809,0.54749,0.27354,1.77417,1.36626,1.52619,0.009505,0.009505,0.009505
7,533.733,1.72007,1.37378,1.44854,0.58465,0.57546,0.58369,0.30217,1.73747,1.2963,1.50161,0.009406,0.009406,0.009406
8,609.856,1.69577,1.34312,1.42991,0.57435,0.54692,0.56271,0.28467,1.74028,1.35294,1.50135,0.009307,0.009307,0.009307
9,683.386,1.68293,1.31471,1.42406,0.58931,0.56316,0.57581,0.29941,1.74405,1.32659,1.50462,0.009208,0.009208,0.009208
10,756.826,1.6638,1.29428,1.41349,0.55431,0.55709,0.56777,0.28899,1.75087,1.31567,1.51375,0.009109,0.009109,0.009109
11,831.056,1.66617,1.28946,1.41487,0.6143,0.59804,0.63213,0.33449,1.68217,1.2205,1.46628,0.00901,0.00901,0.00901
12,906.218,1.64763,1.25559,1.40015,0.63319,0.60549,0.63812,0.33711,1.69389,1.20691,1.46659,0.008911,0.008911,0.008911
13,981.895,1.64462,1.23993,1.39698,0.62545,0.59493,0.63227,0.33731,1.67297,1.24018,1.45555,0.008812,0.008812,0.008812
14,1055.66,1.64252,1.22451,1.39783,0.63045,0.62844,0.65824,0.35219,1.67753,1.19575,1.43837,0.008713,0.008713,0.008713
15,1127.55,1.6264,1.21635,1.38225,0.65922,0.6235,0.66623,0.35934,1.65329,1.14732,1.43805,0.008614,0.008614,0.008614
16,1200.87,1.63276,1.19862,1.38122,0.65897,0.61168,0.66258,0.36089,1.64028,1.15593,1.4194,0.008515,0.008515,0.008515
17,1275.68,1.63386,1.20864,1.38567,0.62324,0.60759,0.64328,0.34437,1.6576,1.18968,1.43966,0.008416,0.008416,0.008416
18,1349.16,1.61047,1.17774,1.37239,0.67275,0.64102,0.68404,0.373,1.64782,1.11382,1.42835,0.008317,0.008317,0.008317
19,1423.66,1.60953,1.16676,1.36635,0.63158,0.64614,0.67268,0.37382,1.63294,1.13849,1.4153,0.008218,0.008218,0.008218
20,1496.86,1.61711,1.16907,1.36771,0.65781,0.6467,0.67997,0.37485,1.62528,1.11941,1.41278,0.008119,0.008119,0.008119
21,1570.09,1.59483,1.15733,1.35893,0.68772,0.65265,0.70603,0.38886,1.64124,1.09094,1.40995,0.00802,0.00802,0.00802
22,1643.63,1.59245,1.14552,1.35399,0.66355,0.64385,0.68371,0.37316,1.64585,1.09724,1.41753,0.007921,0.007921,0.007921
23,1716.64,1.59078,1.14796,1.35452,0.66102,0.66872,0.69849,0.39278,1.62225,1.07408,1.40538,0.007822,0.007822,0.007822
24,1787.77,1.59418,1.1355,1.35499,0.68581,0.66061,0.7079,0.39254,1.62329,1.06919,1.41159,0.007723,0.007723,0.007723
25,1858.48,1.58552,1.12878,1.34809,0.69157,0.6499,0.70525,0.39174,1.63605,1.084,1.40451,0.007624,0.007624,0.007624
26,1929.21,1.58495,1.1268,1.347,0.68066,0.68493,0.71594,0.40349,1.6182,1.04917,1.39214,0.007525,0.007525,0.007525
27,2000.27,1.57132,1.11298,1.34016,0.67707,0.66725,0.71559,0.39699,1.61197,1.05715,1.39128,0.007426,0.007426,0.007426
28,2071.05,1.56899,1.10227,1.33737,0.67883,0.68403,0.72378,0.40588,1.60367,1.04799,1.38604,0.007327,0.007327,0.007327
29,2142.12,1.55355,1.09504,1.33527,0.67701,0.66478,0.71306,0.40527,1.60517,1.046,1.38838,0.007228,0.007228,0.007228
30,2213.1,1.56598,1.08821,1.32989,0.6794,0.68169,0.7211,0.40587,1.60252,1.0395,1.38634,0.007129,0.007129,0.007129
31,2283.84,1.55654,1.08439,1.33184,0.6647,0.70118,0.73009,0.41045,1.59944,1.02892,1.38207,0.00703,0.00703,0.00703
32,2354.93,1.55759,1.08068,1.3273,0.66969,0.68359,0.72383,0.41024,1.59905,1.04024,1.38168,0.006931,0.006931,0.006931
33,2425.67,1.55498,1.08036,1.32069,0.69478,0.68311,0.73569,0.41767,1.59687,1.01508,1.3759,0.006832,0.006832,0.006832
34,2496.73,1.54644,1.06451,1.31852,0.67983,0.67154,0.72572,0.41082,1.59575,1.02202,1.36697,0.006733,0.006733,0.006733
35,2567.44,1.53539,1.05979,1.31589,0.68307,0.68801,0.7352,0.41893,1.60051,1.01547,1.37798,0.006634,0.006634,0.006634
36,2638.46,1.53538,1.05682,1.31846,0.6889,0.69575,0.736,0.41956,1.58879,1.0162,1.37394,0.006535,0.006535,0.006535
37,2709.54,1.5421,1.06078,1.31613,0.68808,0.696,0.73508,0.419,1.5914,1.00719,1.36631,0.006436,0.006436,0.006436
38,2780.22,1.52917,1.04482,1.30972,0.68223,0.69461,0.73681,0.42218,1.58988,1.00104,1.36237,0.006337,0.006337,0.006337
39,2851.23,1.53337,1.05224,1.30916,0.68466,0.70505,0.74636,0.42688,1.58052,0.99707,1.36152,0.006238,0.006238,0.006238
40,2922.28,1.52995,1.03545,1.30531,0.68883,0.70344,0.74305,0.42693,1.57685,0.9971,1.35471,0.006139,0.006139,0.006139
41,2993.28,1.52452,1.03503,1.29911,0.70461,0.69676,0.75153,0.42892,1.57708,0.98758,1.36033,0.00604,0.00604,0.00604
42,3064.24,1.52432,1.03513,1.30938,0.69497,0.69694,0.75125,0.43453,1.57598,0.98559,1.36083,0.005941,0.005941,0.005941
43,3135.24,1.52004,1.02926,1.30367,0.68879,0.69525,0.74549,0.43246,1.57039,0.98757,1.35143,0.005842,0.005842,0.005842
44,3206,1.52299,1.02367,1.29853,0.68858,0.70292,0.75185,0.43569,1.56873,0.97566,1.35328,0.005743,0.005743,0.005743
45,3277.02,1.50989,1.00966,1.29699,0.69866,0.6983,0.75535,0.43901,1.57073,0.97087,1.34974,0.005644,0.005644,0.005644
46,3348.02,1.50686,1.01598,1.28925,0.69817,0.70296,0.754,0.43452,1.57114,0.96922,1.3422,0.005545,0.005545,0.005545
47,3418.68,1.50193,1.00435,1.29102,0.68764,0.71426,0.7531,0.44027,1.5625,0.97299,1.34274,0.005446,0.005446,0.005446
48,3489.65,1.50368,1.00848,1.29153,0.68199,0.72194,0.7549,0.43717,1.57765,0.96525,1.34699,0.005347,0.005347,0.005347
49,3560.44,1.4999,1.00555,1.29056,0.69888,0.70575,0.75521,0.44064,1.5633,0.96673,1.33803,0.005248,0.005248,0.005248
50,3631.41,1.50065,0.99734,1.28573,0.69531,0.72628,0.75989,0.44185,1.57144,0.96081,1.3368,0.005149,0.005149,0.005149
51,3702.45,1.49206,0.99358,1.28125,0.68941,0.71483,0.75522,0.43776,1.56817,0.96275,1.34183,0.00505,0.00505,0.00505
52,3773.14,1.50025,0.99491,1.28795,0.69043,0.72164,0.75926,0.44286,1.56507,0.95917,1.33966,0.004951,0.004951,0.004951
53,3844.17,1.49119,0.98322,1.27834,0.68948,0.7285,0.76021,0.44252,1.56632,0.95621,1.33484,0.004852,0.004852,0.004852
54,3914.85,1.49082,0.9859,1.2806,0.70862,0.70194,0.75866,0.44295,1.56173,0.95323,1.33577,0.004753,0.004753,0.004753
55,3985.9,1.47686,0.97824,1.27362,0.68934,0.72422,0.76207,0.44613,1.56214,0.95117,1.33492,0.004654,0.004654,0.004654
56,4056.97,1.48836,0.9809,1.27547,0.6892,0.71577,0.75964,0.44701,1.56093,0.94902,1.33375,0.004555,0.004555,0.004555
57,4128.06,1.48045,0.97221,1.27569,0.69413,0.71943,0.7617,0.44451,1.56366,0.94792,1.33659,0.004456,0.004456,0.004456
58,4198.78,1.4829,0.97232,1.27297,0.69724,0.7259,0.75822,0.44479,1.56006,0.94646,1.33534,0.004357,0.004357,0.004357
59,4269.51,1.48357,0.97295,1.27074,0.69925,0.72049,0.76348,0.44931,1.56103,0.94034,1.33249,0.004258,0.004258,0.004258
60,4340.56,1.48049,0.96465,1.26626,0.69763,0.72774,0.76219,0.44732,1.56217,0.94271,1.32957,0.004159,0.004159,0.004159
61,4411.35,1.47192,0.96377,1.26534,0.69107,0.72866,0.76123,0.44833,1.55371,0.94398,1.32774,0.00406,0.00406,0.00406
62,4482.02,1.47691,0.95858,1.26796,0.69849,0.72642,0.76392,0.44878,1.55611,0.93806,1.32658,0.003961,0.003961,0.003961
63,4552.69,1.46696,0.96092,1.26513,0.70634,0.71966,0.76428,0.44998,1.555,0.93683,1.32314,0.003862,0.003862,0.003862
64,4623.68,1.46691,0.95618,1.26023,0.71055,0.72562,0.7666,0.4507,1.55514,0.93282,1.31937,0.003763,0.003763,0.003763
65,4694.7,1.46917,0.94999,1.26245,0.70205,0.7215,0.76264,0.45013,1.55552,0.93235,1.32275,0.003664,0.003664,0.003664
66,4765.33,1.45861,0.94744,1.25989,0.69839,0.7272,0.76579,0.45114,1.55249,0.93354,1.32424,0.003565,0.003565,0.003565
